nombre_ingrediente_nutrifoods,name_ingrediente_encontrado,unidades_falladas,urls
Lomo liso,liso,taza,https://guidingstars.com/recipes/sweet-potato-tapas/
Trigo,wrap de trigo integral o lavash,,https://guidingstars.com/recipes/mediterranean-chicken-salad-pinwheels/
Pimienta cayenna,Pimienta cayenna,guión,https://guidingstars.com/recipes/tempeh-bacon/
Arroz,envoltorio de papel de arroz,,https://guidingstars.com/recipes/rainbow-spring-rolls/
Apio,sal de apio,cucharadita;grande,https://guidingstars.com/recipes/gluten-free-stuffed-mushrooms/;https://guidingstars.com/recipes/curried-squash-and-apple-bisque-with-leek/
Manzana deshidratada,Manzana deshidratada,taza,https://guidingstars.com/recipes/muesli-breakfast-bars/
Manzana,sidra de manzana,cuarto,https://guidingstars.com/recipes/mulled-cider/
Jengibre,jengibre fresco rallado,tbsp,https://guidingstars.com/recipes/tropical-ginger-punch/
Cereal,paquete de tempeh multicereale,,https://guidingstars.com/recipes/spicy-asparagus-tempeh-stir-fry/
Anís,maní sin sal,taza,https://guidingstars.com/recipes/turkey-vatapa/
Camarón,camarone,libra grande,https://guidingstars.com/recipes/peruvian-shrimp-with-green-sauce/
Carne,base de carne,cucharadita,https://guidingstars.com/recipes/mushroom-beef-burgers/
Vinagre,t de vinagre balsámico,,https://guidingstars.com/recipes/sourdough-portobello-sandwich/
Pimienta negra,"dukkah, avellanas, semilla de cilantro 3 cucharada de semilla de sésamo, semilla de comino 1 cucharada de grano de pimienta negra, semilla de hinojo, hoja seca de menta, taza de sal",cups;taza,https://guidingstars.com/recipes/roasted-cauliflower-with-dukkah/;https://guidingstars.com/recipes/sesame-noodle-salad/
Machas,ajo machacado,cucharada,https://guidingstars.com/recipes/spicy-lentil-wraps-with-red-pepper-paste-and-tahini-sauce/
Harina,tortilla de harina sin grasa,,https://guidingstars.com/recipes/poblano-mango-and-black-bean-quesadillas/
Ají en polvo,Ají en polvo,taza,https://guidingstars.com/recipes/decadent-turkey-chili/
Tortilla de maíz,chip de tortilla de maíz blanco,taza,https://guidingstars.com/recipes/chippy-chili/
Mango,mango,grande,https://guidingstars.com/recipes/black-bean-toss/
Semillas de anís,Semillas de anís,cabeza,https://guidingstars.com/recipes/vegetarian-pot-pie/
Aceite,Aceite vegetal,tsps,https://guidingstars.com/recipes/skillet-steak-and-potatoes/
Jugo de piña,jugo de piña sin azúcar,cucharada,https://guidingstars.com/recipes/pineapple-chicken-stir-fry/
Salsa horseradish,salsa,taza,https://guidingstars.com/recipes/grilled-corn-salad-with-black-beans-rice/
Vino blanco,taza de vino blanco seco,,https://guidingstars.com/recipes/chicken-stufino/
Cilantro,cilantro,manojo,https://guidingstars.com/recipes/grilled-avocados-with-black-bean-salsa/
